City,Min Price,Max Price,Common Price
Caloocan City,#N/A,#N/A,#N/A
Caloocan City,60.95,71.15,#N/A
Caloocan City,54.00,69.15,66.25
Caloocan City,53.00,64.90,62.75
Caloocan City,51.80,60.05,59.30
Caloocan City,60.85,66.80,#N/A
Caloocan City,71.09,72.67,#N/A
Quezon City,65.50,68.50,#N/A
Quezon City,53.60,70.55,59.95
Quezon City,52.60,69.80,#N/A
Quezon City,52.10,65.55,58.85
Quezon City,51.14,60.70,54.50
Quezon City,56.10,64.60,#N/A
Quezon City,72.29,78.95,#N/A
Manila,66.30,67.75,#N/A
Manila,62.40,73.10,#N/A
Manila,56.70,71.10,63.35
Manila,55.20,64.20,60.85
Manila,52.30,61.30,59.15
Manila,55.65,67.57,65.80
Manila,70.30,72.12,#N/A
Pasig City,64.95,66.65,#N/A
Pasig City,61.65,71.95,#N/A
Pasig City,58.94,70.00,61.40
Pasig City,57.44,63.05,61.00
Pasig City,53.85,60.05,56.40
Pasig City,58.50,67.95,#N/A
Pasig City,72.18,80.49,#N/A
Taguig Cty,69.90,70.55,69.90
Taguig Cty,62.60,74.85,#N/A
Taguig Cty,60.35,72.08,62.60
Taguig Cty,59.30,65.95,61.10
Taguig Cty,54.20,59.90,59.00
Taguig Cty,59.70,67.90,60.40
Taguig Cty,80.44,82.10,#N/A
Cities,#N/A,#N/A,#N/A
Makati City,69.65,70.05,69.65
Makati City,70.05,74.20,73.40
Makati City,63.45,72.20,65.65
Makati City,60.95,65.30,63.15
Makati City,57.10,59.85,58.95
Makati City,61.00,67.75,61.00
Makati City,72.11,72.11,#N/A
Parañaque City,65.85,69.65,69.10
Parañaque City,65.07,74.13,#N/A
Parañaque City,61.85,74.65,64.10
Parañaque City,59.85,73.65,62.60
Parañaque City,55.24,64.90,56.25
Parañaque City,58.25,73.74,#N/A
Parañaque City,70.50,70.50,#N/A
Muntinlupa City,67.55,72.00,#N/A
Muntinlupa City,63.55,75.80,#N/A
Muntinlupa City,62.85,73.80,62.85
Muntinlupa City,61.35,67.05,61.35
Muntinlupa City,57.60,62.01,57.60
Muntinlupa City,60.60,69.91,60.60
Muntinlupa City,71.95,71.95,#N/A
Pasay City,68.45,69.70,#N/A
Pasay City,66.69,74.00,#N/A
Pasay City,57.20,73.25,57.20
Pasay City,56.20,71.60,64.20
Pasay City,53.20,65.15,57.85
Pasay City,60.65,67.60,#N/A
Pasay City,72.81,77.85,#N/A
