City,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A
Caloocan City,41.87,41.87,#N/A
Caloocan City,41.17,43.98,#N/A
Caloocan City,34.35,43.61,42.48
Caloocan City,33.02,42.96,41.48
Caloocan City,24.75,30.00,28.73
Caloocan City,27.33,31.58,#N/A
Caloocan City,25.14,28.41,#N/A
Quezon City,35.92,44.25,#N/A
Quezon City,34.50,43.40,#N/A
Quezon City,31.72,43.81,#N/A
Quezon City,31.22,42.76,#N/A
Quezon City,23.00,29.67,#N/A
Quezon City,27.33,30.62,#N/A
Quezon City,26.54,33.07,#N/A
Manila,40.27,44.38,#N/A
Manila,37.57,41.47,#N/A
Manila,38.27,43.47,38.27
Manila,34.87,41.97,37.77
Manila,25.08,30.98,27.43
Manila,24.63,35.08,#N/A
Manila,26.51,28.30,#N/A
Pasig City,41.32,44.96,#N/A
Pasig City,36.45,42.86,#N/A
Pasig City,33.72,41.96,39.32
Pasig City,32.70,41.03,38.62
Pasig City,23.85,29.82,#N/A
Pasig City,27.48,31.82,28.88
Pasig City,26.68,28.17,#N/A
Taguig Cty,43.15,43.96,43.96
Taguig Cty,43.34,43.36,43.36
Taguig Cty,36.85,43.46,41.96
Taguig Cty,35.85,41.46,39.96
Taguig Cty,24.90,30.82,29.37
Taguig Cty,29.57,31.37,31.37
Taguig Cty,34.09,36.90,#N/A
